心声冥想 App 内存监控日志
========================
包名：com.anonymous.soundtherapyapp
进程 ID: 8501
采样间隔：5秒
开始时间：2026-04-16 07:25:05
========================

时间戳 | PSS Total(MB) | Private Dirty(MB) | Heap Size(MB)
2026-04-16 08:05:49 | 98.09 |  | 19.59
2026-04-16 08:05:55 | 98.05 |  | 19.53
2026-04-16 08:06:00 | 98.04 |  | 19.53
2026-04-16 08:06:05 | 97.87 |  | 19.40
2026-04-16 08:06:10 | 97.88 |  | 19.40
2026-04-16 08:06:15 | 97.87 |  | 19.40
2026-04-16 08:06:21 | 97.88 |  | 19.40
2026-04-16 08:06:26 | 97.88 |  | 19.40
2026-04-16 08:06:31 | 97.87 |  | 19.40
2026-04-16 08:06:36 | 97.87 |  | 19.40
2026-04-16 08:06:41 | 97.87 |  | 19.40
2026-04-16 08:06:47 | 97.87 |  | 19.40
2026-04-16 08:06:52 | 97.87 |  | 19.40
2026-04-16 08:06:57 | 97.87 |  | 19.40
2026-04-16 08:07:02 | 97.87 |  | 19.40
2026-04-16 08:07:07 | 97.87 |  | 19.40
2026-04-16 08:07:13 | 97.87 |  | 19.40
2026-04-16 08:07:18 | 97.87 |  | 19.40
2026-04-16 08:07:23 | 97.87 |  | 19.40
2026-04-16 08:07:28 | 97.87 |  | 19.40
2026-04-16 08:07:33 | 97.87 |  | 19.40
2026-04-16 08:07:38 | 97.87 |  | 19.40
2026-04-16 08:07:44 | 97.87 |  | 19.40
2026-04-16 08:07:49 | 97.87 |  | 19.40
2026-04-16 08:07:54 | 97.86 |  | 19.40
2026-04-16 08:07:59 | 97.87 |  | 19.40
2026-04-16 08:08:04 | 97.87 |  | 19.40
2026-04-16 08:08:10 | 97.87 |  | 19.40
2026-04-16 08:08:15 | 97.87 |  | 19.40
2026-04-16 08:08:20 | 97.87 |  | 19.40
2026-04-16 08:08:25 | 97.87 |  | 19.40
2026-04-16 08:08:30 | 97.86 |  | 19.40
2026-04-16 08:08:36 | 97.87 |  | 19.40
2026-04-16 08:08:41 | 97.87 |  | 19.40
2026-04-16 08:08:46 | 97.87 |  | 19.40
2026-04-16 08:08:51 | 97.86 |  | 19.40
2026-04-16 08:08:56 | 97.86 |  | 19.40
2026-04-16 08:09:02 | 97.87 |  | 19.40
2026-04-16 08:09:07 | 97.87 |  | 19.40
2026-04-16 08:09:12 | 97.87 |  | 19.40
2026-04-16 08:09:17 | 97.87 |  | 19.40
2026-04-16 08:09:22 | 97.86 |  | 19.40
2026-04-16 08:09:28 | 97.87 |  | 19.40
2026-04-16 08:09:33 | 97.87 |  | 19.40
2026-04-16 08:09:38 | 97.86 |  | 19.40
2026-04-16 08:09:43 | 97.86 |  | 19.40
2026-04-16 08:09:48 | 97.86 |  | 19.40
2026-04-16 08:09:54 | 97.86 |  | 19.40
2026-04-16 08:09:59 | 97.86 |  | 19.40
2026-04-16 08:10:04 | 97.86 |  | 19.40
2026-04-16 08:10:09 | 97.85 |  | 19.40
2026-04-16 08:10:14 | 97.86 |  | 19.40
2026-04-16 08:10:20 | 97.85 |  | 19.40
2026-04-16 08:10:25 | 97.86 |  | 19.40
2026-04-16 08:10:30 | 97.87 |  | 19.40
2026-04-16 08:10:35 | 97.87 |  | 19.40
2026-04-16 08:10:40 | 97.88 |  | 19.40
2026-04-16 08:10:46 | 97.88 |  | 19.40
2026-04-16 08:10:51 | 97.88 |  | 19.40
2026-04-16 08:10:56 | 97.88 |  | 19.40
2026-04-16 08:11:01 | 97.88 |  | 19.40
2026-04-16 08:11:06 | 97.92 |  | 19.40
2026-04-16 08:11:11 | 97.84 |  | 19.40
2026-04-16 08:11:17 | 97.81 |  | 19.40
2026-04-16 08:11:22 | 97.85 |  | 19.40
2026-04-16 08:11:27 | 97.85 |  | 19.40
